"가해자연령층","월","사고건수","사망자수","중상자수","경상자수","부상신고자수"
"20세이하","01","491","3","171","454","92"
"20세이하","02","477","11","150","418","87"
"20세이하","03","614","7","206","521","115"
"20세이하","04","684","9","218","573","130"
"20세이하","05","796","14","248","688","172"
"20세이하","06","801","13","270","679","158"
"20세이하","07","785","10","251","660","163"
"20세이하","08","737","10","247","661","151"
"20세이하","09","843","16","306","708","144"
"20세이하","10","747","11","261","629","152"
"20세이하","11","655","8","232","581","96"
"20세이하","12","545","12","183","542","101"
"21-30세","01","2316","34","831","2669","231"
"21-30세","02","2034","33","728","2238","229"
"21-30세","03","2346","41","814","2559","225"
"21-30세","04","2408","29","866","2605","292"
"21-30세","05","2436","42","873","2536","279"
"21-30세","06","2427","42","796","2657","245"
"21-30세","07","2617","55","871","2956","292"
"21-30세","08","2514","46","885","2733","267"
"21-30세","09","2642","43","958","2803","305"
"21-30세","10","2527","56","921","2786","225"
"21-30세","11","2533","44","859","2781","253"
"21-30세","12","2454","39","793","2814","243"
"31-40세","01","2800","61","951","3122","274"
"31-40세","02","2394","39","876","2630","212"
"31-40세","03","2717","53","958","2730","263"
"31-40세","04","2800","45","980","3026","247"
"31-40세","05","2974","45","1082","3092","328"
"31-40세","06","2765","39","979","2847","302"
"31-40세","07","2790","59","950","3148","289"
"31-40세","08","2954","41","1037","3183","291"
"31-40세","09","3016","60","1036","3303","293"
"31-40세","10","2892","46","1070","3097","288"
"31-40세","11","3081","45","1024","3379","316"
"31-40세","12","2996","53","963","3236","293"
"41-50세","01","3561","75","1346","3858","351"
"41-50세","02","3118","58","1121","3261","288"
"41-50세","03","3521","56","1352","3584","281"
"41-50세","04","3596","49","1382","3809","331"
"41-50세","05","3639","54","1370","3779","297"
"41-50세","06","3637","54","1351","3663","304"
"41-50세","07","3641","52","1305","3893","303"
"41-50세","08","3715","51","1389","4049","311"
"41-50세","09","3949","74","1453","4013","403"
"41-50세","10","3679","75","1418","3906","354"
"41-50세","11","3883","73","1467","3935","328"
"41-50세","12","3729","68","1356","3829","350"
"51-60세","01","4253","87","1664","4542","403"
"51-60세","02","3701","73","1327","3915","272"
"51-60세","03","4149","67","1552","4309","369"
"51-60세","04","4338","73","1607","4491","377"
"51-60세","05","4558","93","1786","4579","404"
"51-60세","06","4332","80","1682","4383","360"
"51-60세","07","4467","82","1577","4685","420"
"51-60세","08","4632","91","1703","5014","402"
"51-60세","09","4901","94","1770","5057","434"
"51-60세","10","4643","121","1720","4994","401"
"51-60세","11","4878","106","1752","4960","401"
"51-60세","12","4560","99","1643","4773","344"
"61-64세","01","1285","27","489","1312","122"
"61-64세","02","1099","24","404","1235","98"
"61-64세","03","1338","16","527","1350","95"
"61-64세","04","1386","26","526","1446","137"
"61-64세","05","1359","25","503","1308","95"
"61-64세","06","1412","29","519","1469","109"
"61-64세","07","1343","34","527","1435","97"
"61-64세","08","1374","23","460","1429","92"
"61-64세","09","1504","32","524","1576","150"
"61-64세","10","1413","28","569","1435","135"
"61-64세","11","1478","27","557","1485","126"
"61-64세","12","1384","26","475","1433","110"
"65세이상","01","1874","66","706","1902","156"
"65세이상","02","1718","42","692","1680","137"
"65세이상","03","1990","55","806","1848","180"
"65세이상","04","2145","62","880","2019","193"
"65세이상","05","2364","93","975","2251","214"
"65세이상","06","2285","58","922","2140","211"
"65세이상","07","2153","64","847","2071","216"
"65세이상","08","2383","91","921","2281","233"
"65세이상","09","2624","100","992","2450","234"
"65세이상","10","2541","83","1069","2549","252"
"65세이상","11","2467","76","875","2427","194"
"65세이상","12","2169","58","787","2117","200"
"불명","01","390","0","61","300","92"
"불명","02","291","0","51","211","63"
"불명","03","372","0","53","256","93"
"불명","04","360","0","51","269","75"
"불명","05","376","0","47","260","102"
"불명","06","388","0","59","249","100"
"불명","07","362","1","59","257","90"
"불명","08","373","0","71","258","94"
"불명","09","412","0","76","280","103"
"불명","10","421","0","56","304","107"
"불명","11","402","0","75","276","93"
"불명","12","412","0","64","307","88"
